Title,PID,file,First-broadcast,Presenter,Production,Producer,Description,Archive-details
Jump!,b015bqb5,TRUE,2/10/2011,Cathy Fitzgerald,Falling Tree,Eleanor McDowall,"Cathy Fitzgerald explores the terror, bliss and sheer delight of taking a leap.<br/><br/>With readings from Jeanette Winterson, Maud Parrish and Hermann Hesse and music from Rodrigo y Gabriela, Harry Belafonte and Bernard Hermann, Cathy reflects on our fear of jumping into the unknown - and examines the strange and wonderful places we can land when we do decide to take the plunge.",
Just Listen,b01r50yh,,10/3/2013,Mark Tully,Unique,Adam Fowler,"Mark Tully encourages us to do something that is not always easy, but often greatly appreciated: hold our tongues to better hear what others have to say.<br/><br/>In the process he admits that, in his own profession of journalism, listening skills are not always the ones most called upon; that you don't have to be able to hear in order to listen and that, for some, the pictures really are better on radio than television.<br/><br/>With music from the Taize Community, Rossini, Stravinsky and Britten, and featuring writing by Wallace Stevens, Rumi, and Sorley MacLean, this programme is an ample meal for the ears.<br/><br/>So - Just Listen!<br/><br/>The readers are Grainne Keenan and John McAndrew.",
Keeping a Mind Open,m0002y9v,TRUE,3/3/2019,Mark Tully,7digital,Frank Stirling,"Mark Tully debates the pros and cons of an open mind - in life, in politics, in philosophy.<br /> <br />Keeping an open mind lies at the heart of Something Understood - or so Mark suggests. There may, however, be advantages to having a closed mind from time to time - to maintaining unswerving resolution and decisiveness, to wearing metaphorical blinkers to maintain a necessary focus.<br /> <br />Mark Tully examines the cases for and against keeping a mind open at all times with readings from the work of philosophers Eric Hoffer and Bertrand Russell, verse from 13th century mystic Rumi, and music by Arvo Part and Bengali singer Paban Das Baul.<br /> <br />The readers are Jasper Britton, Adjoa Andoh and Francis Cadder.",
Keeping the Past Alive,b036jc3w,,7/7/2013,Samira Ahmed,Whistledown,Rosie Boulton,"Samira Ahmed considers the value of reviving, re-examining and re-connecting with the past. She explores the significance of bringing back lost traditions, values, stories and memories in order to re-experience them in the present.<br/><br/>Brandyn Shaw is a young man who is recreating a 1930's life for himself in the 21st Century. He dresses in period clothes, sings Al Bowlly songs in 30's clubs and he even has an iron from the 1930's to get his shirts properly starched. For Brandyn, this is a life of escape into what he perceives as a gentler way of living.<br/><br/>So, can the past teach us lessons to address the challenges of the present? Or can it only offer moments of rose tinted, historical escapism?<br/><br/>The programme includes John Agard's poem John Edmonstone, Old Tongue by Jackie Kay and Nostalgia by Billy Collins. Plus music by Perotin, Joan Baez and Kate Rusby.",
Keeping Time,b010rb6n,,1/5/2011,Irma Kurtz,Unique,Ronni Davis,"The history of our clocks is practically as long as our history. Other creatures seem content to hear and obey their inner clocks but from the early days - perhaps when we saw how our shadows changed throughout the day - we wanted desperately to attempt a hold on time.<br/><br/>In 'Keeping Time' Irma Kurtz reflects on clocks, the connection of timepieces to navigation and the way in which we make punctuality a virtue.<br/><br/>The readers are Liza Sadovy and Jonathan Firth.",
Keeping up Appearances,b03pdfns,TRUE,12/1/2014,Mark Tully,Unique,Frank Stirling,"Mark Tully examines the human preoccupation with fashion and the importance we so often attach to appearances. He asks why looking one's best can be so important on spiritual, domestic and social planes.<br/><br/>In a programme that touches on fashion as displayed on Neolithic statues, in the court of Louis XIV and on contemporary catwalks, Mark talks to fashion historian Dr. Chris Breward, Professor of Cultural History at Edinburgh University, and introduces readings from William Hazlitt, Pat Parker and Mary Quant.<br/><br/>He also plays music by court composer Jean-Baptiste Lully, Peter Philips and the Cherry Poppin' Daddies.<br/><br/>The readers are Adjoa Andoh and Michael Feast.",
Knights in Shining Armour,b00t60pf,TRUE,1/8/2010,Tom Robinson,Falling Tree,Alan Hall,"Sometimes the figure offering salvation from physical or spiritual peril isn't who we'd expect, as Tom Robinson reflects.",
Labyrinths,b043w5t5,TRUE,18/5/2014,John McCarthy,Whistledown,Natalie Steed,"John McCarthy makes his way to the centre of the labyrinth.<br/><br/>Labyrinths have been created and used throughout the world in many countries, cultures and spiritual contexts. Carved onto rock, dug into the earth and built into cathedral floors these ancient patterns have been used for meditation, to tell stories and as a metaphor for life's journey.<br/><br/>John McCarthy walks a labyrinth with Jan Sellers, a Quaker and labyrinth facilitator, and discusses the search for peace and stillness as well as the fear that we might encounter a monster at the centre.<br/>The programme includes readings from works by Ellen Meloy, Ted Hughes, Charles Rangley-Wilson and John Ashberry with music from Johnny Cash, The Unthanks, Gluck and Paul Giger.<br/><br/>The readers are Peter Marinker and Emily Taaffe.",
Laugh and the World Laughs With You,b00m5qzj,,23/8/2009,Irma Kurtz,,,The ability to laugh can help us through the best and worst of times. Irma Kurtz reflects on laughter and its importance to spiritual wellbeing.,
Laughter,,,23/7/1995,Mark Tully,Unique,,Mark Tully uses music and poetry to explore the subject of laughter.,
Learning and the Reasons of the Heart,b07x18sz,TRUE,9/10/2016,Jane Williams,TBI,Max O'Brien,"Writer and theologian Jane Williams examines the relationship between learning and language and the tension between what we know in our hearts and what we can articulate.<br/><br/>Jane starts by looking at the beginning of life, when we exist in a pre-verbal stage. As wondrous as it is to see the arrival of speech in a child, there has long been a sense that children lose something as they try to contain their world in language.<br/><br/>Speech is one of the primary metaphors for God’s communication. Jane explores the extraordinary mixed metaphor of a Divine Language that becomes a human being and, even more strangely, a human being who has to learn to speak. The Word of God made wordless, a baby able only to cry and babble.<br/><br/>As a theologian it is Jane’s job - and her delight - to try to render our understanding of God in words. She explains that words are bound to be incomplete, but that’s not an admission of failure, it’s a celebration of the fact that language has its limits.",
Learning to Be Human,b0381k9c,TRUE,11/8/2013,John McCarthy,Whistledown,Jo Fidgen,"What if being human is an act of will? Like many people on the autism spectrum, Dawn Prince-Hughes says she felt like an alien in human society, unable to understand its rules. Until, that is, she found an unusual teacher - a gorilla. By copying him, she 'learnt to be human', and moved from being a stripper to an anthropology professor.<br/><br/>In this programme, John McCarthy explores alternative paths to humanity and what they reveal to us about ourselves.<br/><br/>With words from Albert Camus, Margaret Atwood, Mary Shelley and Edvard Munch, and music from Keeril Makan, Beethoven and Emmanuel Jal.",
Learning to Wait,b013fj4f,,21/8/2011,Tom Robinson,Falling Tree,Alan Hall,"Taking his cue from Richard Church's eponymous poem, Tom Robinson considers what's required of us in 'Learning To Wait'.<br/><br/>The poem's paradoxical observation, 'All that I have grasped at I have lost, All I relinquished won', provokes Tom to explore the work of other writers who have reflected on wanting and waiting, including Milan Kundera, TS Eliot and DH Lawrence. With music by KD Lang, Shostakovich and Brian Eno.",
Legitimacy,b07cmlx3,TRUE,29/5/2016,Mark Tully,Unique,,"Mark Tully asks what makes a government, a religion or even a friendship legitimate. Why to we give power to others to legislate for us, or take and spend our money, or tell us what is right or wrong?<br/><br/>With the help of a reading from Rumpole of the Bailey, Mark considers what makes a legal system legitimate, with judges who do not yield to the temptation to enrich themselves or bend under pressure to please the government, courts who deliver justice swiftly, and laws which are rightful. He also suggests the qualities required of individual politicians in strengthening the legitimacy of a government - honesty and integrity, willingness to serve others rather than pursue their own ambitions, and courage to do what they believe in rather than what is popular.<br/><br/>Music by Billy Bragg written during the miners’ strike in the UK in the 1980s, as well as a remarkable historical account of popular resistance to heavy-handed military force in 19th century London, illustrate the point made by the author of The Right to Rule, Bruce Gilley, that, ""Rightful rule is rule that is consistent with the moral expectations of a political community.""<br/><br/>Or, as Rousseau would have it, ""The strongest is never strong enough to be the master unless he translates strength into right and obedience into duty.""",
Lest We Forget,b0088m48,TRUE,11/11/2007,Mike Wooldridge,Unique,,"For Remembrance Day, Mike Wooldridge considers what happens to our collective memory when we lose our first-hand witnesses. In conversation with the anti-genocide campaigner and founder of the Aegis Trust, Dr James Smith, he discovers why is it so important not just to remember, but to learn the lessons of such remembering for the sake of generations to come.",
Let the Healing Fountain Start,,,2/2/2003,Mark Tully,Loftus,Nigel Acheson,"In conversation with Saeed Naqvi, Mark Tully considers the symbolism and imagery of fountains, both in Christianity and in Islam.",
Letting Go,b01ph59q,TRUE,30/12/2012,Mark Tully,Unique,Adam Fowler,"Mark Tully asks when it is right to relinquish our dreams and how best to leave grief behind? From sporting defeat to the loss of a loved one, this programme looks at the benefits of knowing when to let go, and the consequences of not doing so.<br/><br/>Readings explore the notion of letting go of worldly successes and status symbols in preparation for retirement; the pain of bereavement as the gradual process of forgetting begins; a Hindu tradition of renouncing material possessions and family connections before death; and the joy of finally accepting defeat.<br/><br/>Music featured in the programme includes an excerpt from an opera unfinished by Claude Debussy which he finally let go of by pretending to have burned the score.<br/><br/>And in poetry, Naomi Shihab Nye suggests that if we don't lose things - let them go - we will never, ""learn the tender gravity of kindness"".",
Letting Your Hair Down,b012jd2g,,17/7/2011,Mark Tully,Unique,Frank Stirling,"Mark Tully presents an edition of Something Understood on 'Letting Your Hair Down', in which he goes to the pub, talks with friends and tests the premise that kicking over the traces and relaxing is healthy mentally and spiritually.<br/><br/>In a roistering programme about the importance of celebrating, relaxing and pushing the boat out once in a while, he examines the pros and cons of letting our hair down and asks where we should draw the line and what the types of rest and recreation that we ought to take seriously are: from food and drink to laughter and friendship.<br/><br/>The programme draws on the writings of an eclectic bunch this week, with readings from St Thomas Aquinas, Graham Greene, Casanova and John Masefield and with music from Mozart, Elgar and Fats Waller.<br/><br/>The readers are Kenneth Cranham and Isla Blair.",
Library of Secrets,b008nbq8,TRUE,13/1/2008,Dmae Roberts,,,The Library of Secrets: US writer and broadcaster Dmae Roberts reflects on the enduring allure of secret places and the tension that can exist between the secret and the private.,
Life in a Seminary,b01jqb8c,TRUE,10/6/2012,Mark Tully,Loftus,Hannah Marshall,"In Something Understood this week, Mark Tully is intrigued by life in a Roman Catholic seminary. How are young men trained for the priesthood?<br/><br/>At Allen Hall Seminary in the busy heart of London, Dean of Studies and Formation Advisor Father Stephen Wang explains the need for his students to train for their pastoral role within the Catholic community. Seminarians at Allen Hall spend much of their time in local parishes, schools and hospitals preparing for life as a Diocesan priest. And yet it's also crucial that they have the quiet, contemplative space they need to develop spiritually. They must become men of God and men of communion.<br/><br/>Mark explores the history of the seminary system, with readings from Anthony Kenny and Denis Meadows, and hears music written by ancient monks in isolation. He speaks to writer and academic John Cornwell, whose own time at Upholland Seminary in the 1950s left a strong imprint on his spiritual life. The Junior Seminary system he experienced from the age of 12 no longer exists, but John believes that there are still serious flaws in the way the Catholic Church trains its priests. He argues that seminarians are too separated out from the world and from the people they are destined to serve once ordained.<br/><br/>Ultimately, becoming a priest requires huge dedication - what Jesuit Father Pedro Arrupe described as a 'falling in love' with God. Perhaps what is also needed is a balance, between the prosaic and the spiritual, between being within the world and being apart from it.",
Life on Hold,b01m0f1p,,19/8/2012,Elaine Storkey,Falling Tree,Eleanor McDowall,"What does it mean for our ordinary lives to be unexpectedly interrupted? When we struggle with a bereavement, caring for a loved one or attempt to recover after being suddenly uprooted, we can feel that time has come to a stand still.<br/><br/>Elaine Storkey reflects on the moments when we experience an unexpected pause in our normal lives and how we learn to set them in motion again.<br/><br/>With readings from John Milton, Anne Enright and Nahida Izzat and music by Paul Robeson, Bach and Mahalia Jackson.",
Limbo,b00cd51d,,6/7/2008,Mark Tully,,,"Mark Tully considers the state of limbo, where time can seem to stand still. How do we cope with situations where we are unable to move forward?",
Listening,b00st1nm,,27/6/2010,Ruth Waterman,Falling Tree,Alan Hall,"Violinist Ruth Waterman reflects on the art of listening, drawing on the work of Matthew Arnold, William Blake and Goran Simic and the music of Gershwin and Purcell.",
Little Angels Here Below,b007smhd,,15/7/2007,Judith French,,,Little Angels Here Below: Writer and performer Judith French considers the ways of children and angels.,
Living and Learning,b019rd6n,TRUE,22/1/2012,Mark Tully,Unique,Adam Fowler,"Mark Tully meets adult learners with no previous academic qualifications. He discovers the benefits of education later in life, not just for the students but for society too.<br/><br/>Much of the programme is recorded in Oxford as Tully follows a rather unusual group of students as they enrol at the University's Bodleian Library. The ""Ransackers"" all missed out on education when they were younger, but they all have a passion for a research project of their own choosing. Now, they have been given the chance to pursue their interests by Ruskin College who pay all their costs for an intensive ten-week course of study.<br/><br/>In an interview with the Principal of Ruskin College, Audrey Mullender, Tully encounters the ideals of John Ruskin, the 19th century art critic, painter and educationalist. In those days when the class system was almost set in stone Ruskin believed that, through education, workers could achieve a vital sense of self-fulfilment.<br/><br/>And it's the 21st century passion for the benefits of self-fulfilment that Tully encounters when he meets the founder of the Ransackers, Vi Hughes. She speaks of the fear many older people have: fear of education, and fear that they are not capable of learning or contributing. Over nearly thirty years of tutoring at Ruskin, Vi Hughes has seen hundreds of lives transformed when those fears are overcome. Hughes is a champion of the idea that access to education for all, benefits the whole of society.<br/><br/>Tully also looks at other institutions such as the Open University and ponders if the ideal of education for education's sake can survive the modern emphasis on education to meet the needs of industry.<br/><br/>But the last word is left to the Ransackers, who describe the freedom they have found amongst the dreaming spires of Oxford.",
Living in the Mind,b00w0d9d,,21/11/2010,Mark Tully,Unique,Frank Stirling,"Mark Tully examines the skill of 'Living in the mind'.<br/><br/>This programme was inspired by a recent interview in which publisher and author Diana Athill mentioned that now she is in her nineties, she spends much more of her time 'living in the mind'.<br/><br/>Diana is an important figure in the literary world, who took to writing her own novels late in life and still leads a lively existence. However, as she gets older, she is less active than she used to be and enjoys the time she spends allowing her imagination and her intellect to range free. But what exactly is the life of the mind? And what are its rewards?<br/><br/>Mark Tully talks to Diana and examines this very particular skill with readings of poetry by Keats, Tennyson and DH Lawrence and music by Haydn, Bernstein and Tom Waits.<br/><br/>The readers are Derek Jacobi and Isla Blair.",
Living in the Moment,m0001h0x,TRUE,9/12/2018,Harvey Belovski,TBI,Oliver Seymour,"Rabbi Harvey Belovski examines the benefits of living in the moment and concentrating on the needs of the now. He highlights the importance of accepting and understanding the future’s unpredictable nature.<br /><br />Harvey considers the value of mindfulness as a way of encouraging people to pay attention to the present, reducing stress and improving mental wellbeing. He explains that spirituality is often misperceived as venerating the past, or aspiring towards the future. While it’s important to do so, identity and meaning can also be found in the present.<br /><br />Harvey reads a prayer that imagines God reviewing the performance of every human being. The prayer has a simple and plaintive message: no-one knows whether they will be alive this time tomorrow, let alone further into the future. The importance of appreciating the present, then, becomes clear. According to legend, the prayer was written by Rabbi Amnon, who composed it as he lay dying, having been tortured for his refusal to abandon his faith.<br /><br />Rabbi Harvey also considers the relationship between living in the moment and caring for one’s self. While it’s important to be fully present for others, what’s more important, according to Harvey is to attend to one’s own needs. This in turn leads to being better at living in the moment for others.",
Living Lineage,m0000n81,TRUE,7/10/2018,Sarah Goldingay,TBI,Max O'Brien,"Sarah Goldingay examines the ongoing relationship we have with our ancestors. These figures hover in our past, unknown to us and yet not entirely distant. Although her ancestors are strangers, Sarah also feels close to them; she senses her place in a long lineage stretching back over the generations.<br /><br />As a teacher, Sarah is fascinated by another form of lineage, one through which knowledge is continually passed down. We hear from Jiu-Jitsu black belt Rener Gracie, whose family are martial arts royalty. The Gracies pioneered the stunningly effective Brazilian Jiu-Jitsu fighting system and have been honing it for generations, distilling it into an art form. Rener explains that, although he's only 34, he feels like he has over 100 years of martial arts expertise within him due to the compounding of knowledge across his lineage.<br /><br />For Rener, a braiding of lineage and family, memory and embodiment is expressed through a martial art. For others it's through the craft they practice or the instrument they play. Music has a powerful ability to strengthen the bonds within a lineage. Sarah draws upon the music of Toumani Diabate, a virtuoso player of the harp-like Kora, whose family have been Kora masters for 71 generations. She also explores the Jewish songs of the Seder, or Passover meal.<br /><br />Sarah concludes by explaining that religion itself can be thought of as a lineage, a ""chain of memory"" that connects past, present and future people of faith.",
"Living Smart, Living Simple",b008s768,,27/1/2008,Mark Tully,,,"Living Smart, Living Simple: Mark Tully is joined by environmental campaigner Jonathon Porritt to explore how we can live better but more simply.",
Living With Poverty,b06y96gs,TRUE,24/1/2016,Mark Tully,Unique,Frank Stirling,"Mark Tully considers social, religious and personal attitudes towards poverty.<br/><br/>The Archbishop of Canterbury recently said, ""It’s a tragedy that hunger still exists in the United Kingdom in the 21st century. Yet, we continue to live with scandalous inequality"".<br/><br/>Living in Delhi, Mark Tully is also concerned by the poverty that he sees around him there. In this edition of Something Understood, he contemplates poverty and explores the social obligations to do something about it. He talks to Dr. John Kirkby about the practical solutions to the relief of poverty on an individual level. There are readings from poet Robert Sosa, theologian Reinhold Niebuhr and philosopher Loren Eiseley - with music from Bessie Smith, Femi Kuti and J.S. Bach.<br/><br/>The readers are Polly Frame, Francis Cadder and Jasper Britton",
Loneliness,b080pxhv,,30/10/2016,Mark Tully,Unique,Frank Stirling,"Mark Tully asks if we can draw anything positive from that most human problem, loneliness.<br/><br/>In Buddhist thought, the source of loneliness lies in 'dukkha', sometimes defined as 'separation'. Robert Frost called it 'an acquaintance with the night'.<br/><br/>Mark discusses the causes of loneliness and the potential for finding something positive about it with the author and Buddhist writer Sarvananda. In a programme that takes us from remote wilderness to the terraces of Anfield football stadium, he explores both loneliness and solitude through the work of novelist Zoe Heller, psychologist Frieda Fromm-Reichmann and the poet Derek Walcott - and also through music by Pelham Humfrey, David Liebman and Polish composer Wittold Lutoslawski.<br/><br/>The readers are Paapa Essiedu and Emma Pallant.",
Longing for Home,b06r0rmf,TRUE,6/12/2015,Lucy Parham,Falling Tree,Alan Hall,"The pianist Lucy Parham reflects on the yearning of those in exile.<br/><br/>""Losing my country, I lost also myself."" The words of Russian emigre composer Sergei Rachmaninov. Far from home, he ""left behind the very desire to compose"". As a pianist herself, Lucy Parham has always been drawn to the music of Rachmaninov, widely revered as 'the pianist's pianist'.<br/><br/>Starting from the great composer's experience, Lucy considers the nature of exile. The words of other exiles and an interview with Nicholas Stadlen about South Africans exiled during apartheid are woven into a sequence of Rachmaninov's music.<br/><br/>Sir Nicholas Stadlen is a former High Court judge. He is a Visiting Fellow at St Antony's College, Oxford where he is working on a book about the defendants and lawyers who took part in the Rivonia Trial at which Nelson Mandela was sentenced to life in prison. He is also working on a documentary film on the same topic.",
Longing for the Sea,b00sn70d,TRUE,13/6/2010,Mark Tully,Loftus,Elizabeth Burke,"Mark Tully discusses our longing for the sea with National Poet of Wales Gwyneth Lewis, who spent a year on a disastrous round the world voyage.<br/><br/>Despite the danger and the loneliness, she still longs for the sea, and reads a new poem ""Sea Virus"". Lewis is a committed Christian, and she talks about how the experience of being alone on a vast ocean has strengthened her spiritual belief.<br/><br/>Other poets in the programme include the contemporary Welsh poet Menna Elfyn, who speaks of the sea opening her eyes; and the Anglo-Saxon seafarer from before the Tenth Century.<br/><br/>The music includes Britten's Sea Interlude: Dawn, Charles Trenet's evocative song of the 40s ""La Mer"", and a Bach cantata in which he evokes a storm.",
Lost and Found,b00776yt,,22/4/2007,Mark Tully,,,"Lost and Found: Mark Tully considers losing and finding. From the lost sheep and coins of scripture to Marlene Dietrich's earring, why do we mind losing things so much?",
Love Is Enough,,,10/3/1995,,,Pam Fraser Solomon,A new spiritual anthology.<br/>Love Is Enough. Read by Jack Klaff and Eve Karpf.,
Made by Hand,b03lkndb,TRUE,15/12/2013,Samira Ahmed,Whistledown,Caroline Hughes,"Look at the current interest in baking, growing your own and hand crafts. Increasingly it seems, people are finding that making something for themselves, can be more enriching than just going to the shops. It's in step with our 'make do and mend times', but perhaps it's more profound than that.<br/><br/>Samira Ahmed reflects on how the impulse to make things with our hands is human instinct. The act of making demands concentration and can give time to reflect. Creating something handmade can bring deep satisfaction and a sense of achievement.<br/><br/>She considers the spiritual value of making by hand in Shaker communities and in monastic life.<br/><br/>And she hears stories of people for whom creating with their hands has particular significance, like the British World War II prisoner of war, who stitched subversive messages into his needlework samplers, right under the noses of his captors. Samira also visits the workshop of Eleanor Lakelin, who handcrafts bowls and objects from wood, and asks her about the meditative aspects of creating something by hand.<br/><br/>Featuring music by J S Bach, Alison Krauss and Billy Bragg and with the thoughts of writers including Pablo Neruda, Carl Honore and Alice Moore Dunbar-Nelson.",
Making Peace,b00775j5,,18/3/2007,Mike Wooldridge,,,Mike Wooldridge considers the growing role of international mediators in brokering peace between intractable parties in conflict.,
Making Space for Others,b00773rk,,4/2/2007,Mark Tully,,,Mark Tully talks to Hindu scholar Chakravarthi Ram-Prasad about the strengths and weaknesses of India's historical approach to its religious and cultural pluralism. What can we learn from India's example of allowing space for many different religions and cultures to flourish?,
Man's Best Friend,b093hw2j,TRUE,17/09/2017,Michael Symmons Roberts,TBI,Michael Wakelin,"When looking back over his career as a poet, Michael Symmons Roberts realised that dogs were a recurring theme in his work. While he's unsure why man's best friend seems to crop up in his poetry so frequently, Michael knows he's not alone in finding dogs fascinating.<br/><br/>Dogs have featured in Egyptian sacred iconography, Old Testament and New Testament texts, and had lead or walk-on parts in countless poems, novels, films, paintings and songs ever since. Michael looks at why the figure of a dog, or dogs, goes back so far in our cultural history, and why we still can't let it go.<br/><br/>The programme features the poetry of A E Stallings, Elizabeth Barrett Browning and Alicia Ostriker, as well as Robert's own Self-Portrait with Dog. Musical selections include Gershwin's Walking the Dog and James MacMillan's Sun Dogs, as well as Kate Bush and Seasick Steve.",
Manners,b045xvtt,,8/6/2014,Mark Tully,Unique,Adam Fowler,"Mark Tully asks whether manners are really necessary and what would happen if we were to dispense with them. Would we live more honest lives or just end up hurting each other more?<br/><br/>On the one hand, he hears the arguments for authenticity and self expression and looks at the knots we can tie ourselves up in by attempting to follow the correct etiquette. On the other hand, he looks at the damage that can be done if we are not bound by reasonable codes of conduct.<br/><br/>Perhaps the strongest defence of proper manners he comes across is that they are not for our own benefit or advancement but, rather, to help us consider the needs and feelings of others.<br/><br/>The readers are John McAndrew, Frank Stirling and Polly Frame.",
Manners Maketh Man,b01ky43w,,22/7/2012,Tom Robinson,Falling Tree,Alan Hall,"Manners are the optional, unenforced standards of conduct between humans. Like laws, they set down a means of measuring behaviour, though without a policing service - other than an informal 'punishment' of social disapproval.<br/><br/>Tom Robinson considers how etiquette, politeness and courtesy can evolve into a genuinely well-mannered empathy that embodies full and proper respect in human relations.<br/><br/>With reference to Judith 'Miss Manners' Martin, George Washington and PJ O'Rourke and music by Couperin, David Salt and Aretha Franklin.",
Mantras,m0000xmb,TRUE,28/10/2018,Jahnavi Harrison,TBI,Max O'Brien,"Musician Jahnavi Harrison examines the ancient practise of mantra recitation and charts the spread of mantras from their Eastern origins to Western pop-culture.<br /><br />The origin of the word ‘mantra’ lies in the ancient Sanskrit language. It means literally ‘mana’ or mind/heart and ‘tra’ to transport or transcend. In a religious context, Jahnavi explains, a mantra is a sacred sound formula - an arrangement of words with meaning, that have the power to connect the reciter with a specific spiritual goal. But the meaning need not necessarily be understood in order to have an effect, just as you don’t need to know about all the ingredients in cough syrup to feel it doing something.<br /><br />Om, believed by Hindus to be a 'primordial sacred sound' is perhaps the most well known of the traditional Eastern mantras. Jahnavi introduces us to an extraordinary recording of 10,000 people chanting Om as part of a project organised by the Rubin Museum of Art in Manhatten. We also hear the music of George Harrison which features this ancient chant.<br /><br />The belief of Hindus and Buddhists, that reciting mantras can transform the body and mind, are now the subject of much scientific study which has shown that regular chanting brings about changes within the brain. In addition to reaping the spiritual and cognitive benefits, Jahnavi explains that she chants daily in order to put on a suit of ""sonic armour"" that seems to protect her from the noise and intensity of the urban environment.",
Mapping the Territory,b03j8ksm,TRUE,24/11/2013,Tom Robinson,Falling Tree,Alan Hall,"A lifelong fascination with maps leads Tom Robinson on an unexpected journey into the space between the map and the territory.<br/><br/>With readings from Simon Garfield, Dylan Thomas and Jorge Luis Borges and music by, among others, The Divine Comedy, Sally Beamish and Radiohead performed by Christopher O'Riley.<br/><br/>Readers: Adjoa Andoh and Jonathan Keeble",
Maps & Charts,,,29/12/2002,Mark Tully,Loftus,Nigel Acheson,"On the eve of the New Year, Mark Tully considers the reliability - and otherwise - of some of the tools we use to plot a course into the future.",
Marriage,b0bf4bz1,TRUE,12/8/2018,Harvey Belovski,TBI,Michael Wakelin,"Rabbi Harvey Belovski discovers the tension between togetherness and personal space at the heart of every marriage and reveals the dance between these two polarities.<br/><br/>Having been married to his wife for twenty eight years, and now with seven children, Harvey looks back at the ups and downs of his own relationship and is slightly uncomfortable that it has taken him so long to work out the simple truth that a relationship is strengthened and nurtured by the differences between a couple - and that partnership comes from opposition.<br/><br/>Harvey also realises that in order to love one's partner as they are, rather than as we'd like them to be, we need to have a clear sense of who we are ourselves. He concludes, ""I'm evolving towards a position in which a secure relationship allows and encourages considerable space for individual growth. This is not purely to avoid smothering one's partner, but to nurture a healthy and mature relationship."" His journey of discovery is illustrated with readings from Alain de Botton, Khalil Gibran and Eric Fromm, along with the music of Billy Joel, Liszt and Brahms.",
May His Memory Be a Blessing,b04jhl50,,28/9/2014,Michael Zev Gordon,Falling Tree,Alan Hall,"Within the Jewish tradition, it's common to use the honorific 'may his memory be a blessing' when writing of the dead. The composer Michael Zev Gordon uses this phrase to reflect on the idea that so much of what we are is locked in memory, but that we only grasp this fully when it starts to slip away.<br/><br/>He draws on writings by Proust and W.G.Sebald, poems by Carol Ann Duffy and Marjorie Agosin, and musical excerpts from JS Bach, Thomas Ades, Robert Schumann, his own piano piece entitled 'On Memory' and the music hall song that was one of his father's last triggers to memory and identity, 'Daisy Bell'.",
Mementos,b01bkhjq,TRUE,5/2/2012,Mark Tully,Unique,Adam Fowler,"Mark Tully ponders the significance of mementos, not just of the past, but the future too. From military trophies to reminders of our own mortality, he examines the objects we imbue with personal meaning.<br/><br/>Mark observes in the programme that mementos keep the past alive in the present and are preserved for the future - so they are important links through time.<br/><br/>Featuring literature from Joseph Conrad, W.B. Yeats and John Donne; and music by Nat King Cole, Arvo Part and the Band of the Blues and Royals, among others, the programme celebrates the comfort we can gain from inanimate artefacts, and the capability they possess to 'speak' across generations.<br/><br/>But Mark also observes that Mementos can be a trap, too, encouraging us to live too much in the past - to indulge our previous sorrows and losses.<br/><br/>Perhaps no institutions preserve their mementos more lovingly than the military, and the programme features an interview with military historian, Squadron Leader Rana Chhina who shows Mark his family mementos of campaigns in India and Pakistan - mementos which mean so much to him, his family and his comrades.<br/><br/>And Mark, himself, shares with us a memento which means much to him and which epitomises the power of mementos to bind us to each other and to the past, present and future.<br/><br/>Readers: Jonjo O'Neill and Adjoa Andoh",
Men and women,,,25/2/1996,Mark Tully,Unique,,Mark Tully considers the relationship between men and women.,
Mending Cracks with Gold,b039b67b,TRUE,1/9/2013,Samira Ahmed,Whistledown,Jo Fidgen,"What can we learn from a broken teapot?<br/><br/>According to legend, when a 15th century shogun smashed his treasured pottery, Japanese artists repaired it with gold. Kintsugi, as the practice is known, gives new life to damaged goods by celebrating their frailty and history. Samira Ahmed considers how we might live a kintsugi life, finding value in the ‘cracks' - whether it's the scars showing how we have lived, finding new purpose through loss, or learning to love ourselves despite our flaws.<br/><br/>With readings from The Book of Tea by Kakuzo Okakura, Haruki Murakami's After the Quake, and the Rubaiyat of Omar Khayyam - and music from Michio Miyagi, the Rolling Stones and Elizabethan composer, John Dowland.",
Mentors,b015ygwy,,16/10/2011,Mark Tully,Unique,Frank Stirling,"Particularly in the aftermath of disturbances like the British riots in August, youth mentoring programmes have been much a frequent topic for discussion in recent months.<br/><br/>In this edition of Something Understood, Mark Tully examines the important part a mentor can play in everybody's life. He also examines some of the attendant dangers in being a mentor, the temptation to exploit, patronize or underestimate a pupil, charge or protege.<br/><br/>Writer and broadcaster Malchi O'Doherty remembers his troubled relationship with his mentor for three years, a Hindu guru in India and we hear about mentors of all types from spiritual directors and schoolteachers to musicians and youth workers. With music from Bach, Tavener and Bernstein and readings from Denise Levertov and Umberto Eco.<br/><br/>The readers are Hattie Morahan and Dan Stevens.",
Mercy,b0766kd3,,10/4/2016,Abdul-Rehman Malik,TBI,,"Journalist Abdul-Rehman Malik has been fascinated and challenged by 'the unsettling and overwhelming' mercy of God all his life - even his name means 'servant of the Merciful'. When he studies sacred texts, it is references to mercy that he seeks out first.<br/><br/>In this programme, Abdul has selected readings that illuminate the nature of mercy from the Quran, the Baghavad Gita, the works of William Blake, Pope Francis, and Thomas Merton - as well as the compositions of musicians as diverse as Sir John Taverner and John Coltrane.",
